Type,Region,Name,Data Type,Price(USD),Variant Price,Code,GBs,Validity(Days),Slug,Coverage,ID,Billing starts,Pre-Install Days,Speed,Support TopUp Type,Breakout IP,APN,FUP policy,Operator Networks
Single,China mainland,China 1GB/Day,Daily Unlimited,$0.65,$1.95,CN,1,1,CN_1_Daily,CN,P92TALXP8,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,HK,cmlink,384 Kbps,China Mobile [5G]
Single,Japan,Japan 10GB/Day,Daily Unlimited,$5.00,$15.00,JP,10,1,JP_10_Daily,JP,PGURVYHQ1,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,HK,mobile.three.com.hk,384 Kbps,"NTT docomo [5G], Rakuten Mobile [5G], KDDI/au [5G], SoftBank [5G]"
Single,Philippines,Philippines 10GB/Day,Daily Unlimited,$6.51,$19.53,PH,10,1,PH_10_Daily,PH,P08FIDBBQ,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,SG,e-ideas,384 Kbps,"Globe [5G], SMART [5G]"
Single,Singapore,Singapore 10GB/Day,Daily Unlimited,$9.00,$27.00,SG,10,1,SG_10_Daily,SG,P3LR5JXFO,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,SG,isp,1 Mbps,StarHub [5G]
Single,South Korea,South Korea 10GB/Day,Daily Unlimited,$5.00,$15.00,KR,10,1,KR_10_Daily,KR,P2XI9YHJG,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,SG,e-ideas,384 Kbps,"LG U+ [5G], SKTelecom [5G]"
Single,Vietnam,Vietnam 10GB/Day,Daily Unlimited,$6.60,$19.80,VN,10,1,VN_10_Daily,VN,PUHL77M18,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,HK,cmlink,384 Kbps,"Viettel Mobile [5G], Vinaphone [5G], MobiFone [4G]"
Single,Afghanistan,Afghanistan  1GB 7Days,Data in Total,$4.50,$13.50,AF,1,7,AF_1_7,AF,PC2G2GAZG,First Network Connection,180,3G,Data Reloadable for same area within validitity,UK,plus,,Roshan [4G]
Single,Afghanistan,Afghanistan 10GB/Day,Daily Unlimited,$26.84,$80.52,AF,10,1,AF_10_Daily,AF,PCMSSEM7B,First Network Connection,180,3G,Days Reloadable for extending validitity,UK,plus,384 Kbps,Roshan [4G]
Single,Afghanistan,Afghanistan 1GB/Day,Daily Unlimited,$4.00,$12.00,AF,1,1,AF_1_Daily,AF,PDIRBQAQE,First Network Connection,180,3G,Days Reloadable for extending validitity,UK,plus,512 Kbps,Roshan [4G]
Single,Afghanistan,Afghanistan 2GB/Day,Daily Unlimited,$6.90,$20.70,AF,2,1,AF_2_Daily,AF,P65SRWG05,First Network Connection,180,3G,Days Reloadable for extending validitity,UK,plus,512 Kbps,Roshan [4G]
Single,Afghanistan,Afghanistan 3GB 15Days,Data in Total,$11.80,$35.40,AF,3,15,AF_3_15,AF,PH204G43G,First Network Connection,180,3G,Data Reloadable for same area within validitity,UK,plus,,Roshan [4G]
Single,Afghanistan,Afghanistan 500MB/Day,Daily Unlimited,$2.60,$7.80,AF,0,1,AF_0.5_Daily,AF,P6DHWL6WR,First Network Connection,180,3G,Non-reloadable,UK,plus,512 Kbps,Roshan [4G]
Single,Aland Islands,Aland Islands 1GB/Day,Daily Unlimited,$1.28,$3.84,AX,1,1,AX_1_Daily,AX,PW5VRR4EF,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,NL/FR/US,plus,512 Kbps,Ålcom [5G]
Single,Aland Islands,Aland Islands 2GB/Day,Daily Unlimited,$2.30,$6.90,AX,2,1,AX_2_Daily,AX,P81F9RWO4,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,NL/FR/US,plus,500 Kbps,Ålcom [5G]
Single,Aland Islands,Aland Islands 500MB/Day,Daily Unlimited,$0.70,$2.10,AX,0,1,AX_0.5_Daily,AX,PF46GA1CH,First Network Connection,180,3G/4G/5G,Non-reloadable,NL/FR/US,plus,512 Kbps,Ålcom [5G]
Single,Albania,Albania 100MB 7Days,Data in Total,$0.30,$0.90,AL,0,7,AL_0.1_7,AL,PFRQ8FIBC,First Installation,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,One Albania [5G]
Single,Albania,Albania 10GB/Day,Daily Unlimited,$5.42,$16.26,AL,10,1,AL_10_Daily,AL,P96KLT8J3,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,384 Kbps,One Albania [5G]
Single,Albania,Albania 1GB/Day,Daily Unlimited,$0.79,$2.37,AL,1,1,AL_1_Daily,AL,PT6YNFLX8,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,One Albania [5G]
Single,Albania,Albania 2GB/Day,Daily Unlimited,$1.38,$4.14,AL,2,1,AL_2_Daily,AL,PSXVB0YDP,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,One Albania [5G]
Single,Albania,Albania 500MB 7Days,Data in Total,$0.48,$1.44,AL,0,7,AL_0.5_7,AL,PYFAJFXKY,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,One Albania [5G]
Single,Albania,Albania 500MB/Day,Daily Unlimited,$0.51,$1.53,AL,0,1,AL_0.5_Daily,AL,PP2FWWA8N,First Network Connection,180,3G/4G,Non-reloadable,UK,plus,512 Kbps,One Albania [5G]
Single,Algeria,Algeria 100MB 7Days,Data in Total,$0.30,$0.90,DZ,0,7,DZ_0.1_7,DZ,PJVN54W3O,First Installation,180,3G/4G,Data Reloadable for same area within validitity,NL,internet,,Mobilis [4G]
Single,Algeria,Algeria 2GB/Day,Daily Unlimited,$1.40,$4.20,DZ,2,1,DZ_2_Daily,DZ,P9EO8018O,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,NL,internet,512 Kbps,Mobilis [4G]
Single,Algeria,Algeria 3GB 30Days,Data in Total,$2.76,$8.28,DZ,3,30,DZ_3_30,DZ,PWI9OQIY7,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,NL,internet,,Mobilis [4G]
Single,Algeria,Algeria 500MB 7Days,Data in Total,$0.60,$1.80,DZ,0,7,DZ_0.5_7,DZ,P2K7J4WGD,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,NL,internet,,Mobilis [4G]
Single,Algeria,Algeria 500MB/Day,Daily Unlimited,$0.50,$1.50,DZ,0,1,DZ_0.5_Daily,DZ,P2WDAX0PN,First Network Connection,180,3G/4G,Non-reloadable,NL,internet,512 Kbps,Mobilis [4G]
Single,Andorra,Andorra 10GB 30Days,Data in Total,$17.07,$51.21,AD,10,30,AD_10_30,AD,POLBMAOKK,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK,plus,,Mobiland [5G]
Single,Andorra,Andorra 10GB/Day,Daily Unlimited,$11.82,$35.46,AD,10,1,AD_10_Daily,AD,P1TD5FXF1,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,UK,plus,384 Kbps,Mobiland [5G]
Single,Andorra,Andorra 1GB 7Days,Data in Total,$2.10,$6.30,AD,1,7,AD_1_7,AD,PQPMBOQKQ,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK,plus,,Mobiland [5G]
Single,Andorra,Andorra 1GB/Day,Daily Unlimited,$1.87,$5.61,AD,1,1,AD_1_Daily,AD,PQ96J3XQ3,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,UK,plus,512 Kbps,Mobiland [5G]
Single,Andorra,Andorra 20GB 30Days,Data in Total,$31.33,$93.99,AD,20,30,AD_20_30,AD,PKS714EFL,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK,plus,,Mobiland [5G]
Single,Andorra,Andorra 2GB/Day,Daily Unlimited,$3.27,$9.81,AD,2,1,AD_2_Daily,AD,PQQZXV4QP,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,UK,plus,512 Kbps,Mobiland [5G]
Single,Andorra,Andorra 3GB 15Days,Data in Total,$5.61,$16.83,AD,3,15,AD_3_15,AD,PA4P0E9PP,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK,plus,,Mobiland [5G]
